Day,Lähto,Rata_Numero,arvo1,arvo2,arvo3,Voitto
2/12/2020,2,1,"0,00","0,00","0,00", 
2/12/2020,2,2,"0,00","0,00","0,00", 
2/12/2020,2,3,"0,08","0,23","0,29", 
2/12/2020,2,4,"0,21","0,14","0,57", 
2/12/2020,2,5,"0,14","0,12","0,28", 
2/12/2020,2,6,"0,17","0,09","0,47", 
2/12/2020,2,7,"0,20","0,14","0,49", 
2/12/2020,2,8,"0,00","0,00","0,00", 
2/12/2020,2,9,"0,56","0,48","0,98",1
2/12/2020,2,10,"0,00","0,00","0,00", 
2/12/2020,2,11,"0,09","0,08","0,18", 
2/12/2020,2,12,"0,08","0,03","0,16", 
2/12/2020,2,13,"0,00","0,00","0,00", 
2/12/2020,2,14,"0,00","0,00","0,00", 
2/12/2020,2,15,"0,00","0,00","0,00", 
2/12/2020,2,16,"0,00","0,00","0,00", 
2/12/2020,3,1,"0,00","0,00","0,00", 
2/12/2020,3,2,"0,16","0,26","0,65", 
2/12/2020,3,3,"0,05","0,15","0,20", 
2/12/2020,3,4,"0,14","0,09","0,34", 
2/12/2020,3,5,"0,14","0,14","0,34", 
2/12/2020,3,6,"0,21","0,14","0,50", 
2/12/2020,3,7,"0,11","0,18","0,18", 
2/12/2020,3,8,"0,00","0,00","0,00", 
2/12/2020,3,9,"0,00","0,00","0,00", 
2/12/2020,3,10,"0,47","0,56","0,81", 
2/12/2020,3,11,"0,45","0,46","0,75",1
2/12/2020,3,12,"0,00","0,00","0,00", 
2/12/2020,3,13,"0,00","0,00","0,00", 
2/12/2020,3,14,"0,00","0,00","0,00", 
2/12/2020,3,15,"0,00","0,00","0,00", 
2/12/2020,3,16,"0,00","0,00","0,00", 
2/12/2020,4,1,"0,46","0,52","1,01",1
2/12/2020,4,2,"0,15","0,26","0,56", 
2/12/2020,4,3,"0,00","0,00","0,00", 
2/12/2020,4,4,"0,17","0,09","0,41", 
2/12/2020,4,5,"0,00","0,00","0,00", 
2/12/2020,4,6,"0,53","0,46","0,83", 
2/12/2020,4,7,"0,11","0,18","0,22", 
2/12/2020,4,8,"0,00","0,00","0,00", 
2/12/2020,4,9,"0,17","0,14","0,33", 
2/12/2020,4,10,"0,13","0,11","0,23", 
2/12/2020,4,11,"0,08","0,08","0,23", 
2/12/2020,4,12,"0,00","0,00","0,00", 
2/12/2020,4,13,"0,00","0,00","0,00", 
2/12/2020,4,14,"0,00","0,00","0,00", 
2/12/2020,4,15,"0,00","0,00","0,00", 
2/12/2020,4,16,"0,00","0,00","0,00", 
2/19/2020,1,1,"0,05","0,14","0,32", 
2/19/2020,1,2,"0,15","0,24","0,59", 
2/19/2020,1,3,"0,06","0,24","0,36", 
2/19/2020,1,4,"0,16","0,14","0,44", 
2/19/2020,1,5,"0,00","0,00","0,00", 
2/19/2020,1,6,"0,11","0,14","0,30", 
2/19/2020,1,7,"0,15","0,16","0,32", 
2/19/2020,1,8,"0,52","0,40","0,75",1
2/19/2020,1,9,"0,16","0,17","0,45", 
2/19/2020,1,10,"0,00","0,00","0,00", 
2/19/2020,1,11,"0,16","0,08","0,37", 
2/19/2020,1,12,"0,00","0,00","0,00", 
2/19/2020,1,13,"0,00","0,00","0,00", 
2/19/2020,1,14,"0,00","0,00","0,00", 
2/19/2020,1,15,"0,00","0,00","0,00", 
2/19/2020,1,16,"0,00","0,00","0,00", 
2/19/2020,2,1,"0,45","0,52","0,93", 
2/19/2020,2,2,"0,05","0,22","0,16", 
2/19/2020,2,3,"0,03","0,17","0,13", 
